Signal:	FFT - Vib Velocity - Magnitude [dB]
dB-Reference:	0 dB = 1 m/s
Frequency	Magnitude
[ Hz ]	[ dB ]
219.23828125	-61.81833
219.48242188	-62.47753
219.7265625	-63.16761
219.97070313	-63.83973
220.21484375	-64.4789
220.45898438	-65.10476
220.703125	-65.67349
220.94726563	-66.21361
221.19140625	-66.72586
221.43554688	-67.20976
221.6796875	-67.66782
221.92382813	-68.10636
222.16796875	-68.51312
222.41210938	-68.90311
222.65625	-69.27893
222.90039063	-69.62854
223.14453125	-69.97236
223.38867188	-70.30452
223.6328125	-70.60839
223.87695313	-70.9138
224.12109375	-71.20545
224.36523438	-71.48982
224.609375	-71.7702
224.85351563	-72.03793
225.09765625	-72.28524
225.34179688	-72.53261
225.5859375	-72.75512
225.83007813	-72.96077
226.07421875	-73.14448
226.31835938	-73.30573
226.5625	-73.4388
226.80664063	-73.53724
227.05078125	-73.60719
227.29492188	-73.63837
227.5390625	-73.64194
227.78320313	-73.59908
228.02734375	-73.52376
228.27148438	-73.42004
228.515625	-73.27872
228.75976563	-73.10069
229.00390625	-72.89468
229.24804688	-72.6315
229.4921875	-72.3349
229.73632813	-71.97958
229.98046875	-71.57644
230.22460938	-71.12067
230.46875	-70.63768
230.71289063	-70.13568
230.95703125	-69.63893
231.20117188	-69.17908
231.4453125	-68.7816
231.68945313	-68.46579
231.93359375	-68.23973
232.17773438	-68.15123
232.421875	-68.22368
232.66601563	-68.45578
232.91015625	-68.82457
233.15429688	-69.29472
233.3984375	-69.78961
233.64257813	-70.27146
233.88671875	-70.69144
234.13085938	-71.00809
234.375	-71.20982
234.61914063	-71.28155
234.86328125	-71.26218
235.10742188	-71.17845
235.3515625	-71.10342
235.59570313	-71.10587
235.83984375	-71.23479
236.08398438	-71.47348
236.328125	-71.83099
236.57226563	-72.22499
236.81640625	-72.62348
237.06054688	-72.98985
237.3046875	-73.312
237.54882813	-73.57216
237.79296875	-73.79829
238.03710938	-73.9572
238.28125	-74.09066
238.52539063	-74.19188
238.76953125	-74.26138
239.01367188	-74.29459
239.2578125	-74.31225
239.50195313	-74.29555
239.74609375	-74.26055
239.99023438	-74.21185
240.234375	-74.13847
240.47851563	-74.04182
240.72265625	-73.93202
240.96679688	-73.7968
241.2109375	-73.65403
241.45507813	-73.49954
241.69921875	-73.32272
241.94335938	-73.14912
242.1875	-72.95958
242.43164063	-72.74281
242.67578125	-72.52784
242.91992188	-72.31293
243.1640625	-72.06715
243.40820313	-71.80526
243.65234375	-71.5429
243.89648438	-71.23763
244.140625	-70.92583
244.38476563	-70.5941
244.62890625	-70.23995
244.87304688	-69.84615
245.1171875	-69.43882
245.36132813	-68.99863
245.60546875	-68.53316
245.84960938	-68.02657
246.09375	-67.50213
246.33789063	-66.93696
246.58203125	-66.34443
246.82617188	-65.73225
247.0703125	-65.08051
247.31445313	-64.42075
247.55859375	-63.76105
247.80273438	-63.12006
248.046875	-62.51526
248.29101563	-61.98536
248.53515625	-61.57962
248.77929688	-61.3302
249.0234375	-61.27369
249.26757813	-61.42681
249.51171875	-61.74936
249.75585938	-62.2199
250	-62.79387
250.24414063	-63.39413
250.48828125	-64.00405
250.73242188	-64.56422
250.9765625	-65.08758
251.22070313	-65.53204
251.46484375	-65.88708
251.70898438	-66.16968
251.953125	-66.38933
252.19726563	-66.56297
252.44140625	-66.73086
252.68554688	-66.93449
252.9296875	-67.2084
253.17382813	-67.54459
253.41796875	-67.96255
253.66210938	-68.41609
253.90625	-68.89314
254.15039063	-69.3839
254.39453125	-69.84157
254.63867188	-70.30236
254.8828125	-70.7408
255.12695313	-71.14715
255.37109375	-71.54546
255.61523438	-71.91653
255.859375	-72.26896
256.10351563	-72.58638
256.34765625	-72.88341
256.59179688	-73.15439
256.8359375	-73.40474
257.08007813	-73.63164
257.32421875	-73.84401
257.56835938	-74.0252
257.8125	-74.19699
258.05664063	-74.33665
258.30078125	-74.46481
258.54492188	-74.58006
258.7890625	-74.66546
259.03320313	-74.73496
259.27734375	-74.78651
259.52148438	-74.82428
259.765625	-74.85442
260.00976563	-74.88515
260.25390625	-74.92648
260.49804688	-74.97041
260.7421875	-75.03424
260.98632813	-75.11479
261.23046875	-75.20896
261.47460938	-75.31176
261.71875	-75.42458
261.96289063	-75.54971
262.20703125	-75.66682
262.45117188	-75.78847
262.6953125	-75.88898
262.93945313	-75.97311
263.18359375	-76.02204
263.42773438	-76.05279
263.671875	-76.04478
263.91601563	-76.01483
264.16015625	-75.97777
264.40429688	-75.93337
264.6484375	-75.89881
264.89257813	-75.88641
265.13671875	-75.90403
265.38085938	-75.95229
265.625	-76.036
265.86914063	-76.14396
266.11328125	-76.25536
266.35742188	-76.33693
266.6015625	-76.40152
266.84570313	-76.4296
267.08984375	-76.43198
267.33398438	-76.39719
267.578125	-76.33492
267.82226563	-76.256
268.06640625	-76.16299
268.31054688	-76.08517
268.5546875	-76.04147
268.79882813	-76.04205
269.04296875	-76.07427
269.28710938	-76.14411
269.53125	-76.2048
269.77539063	-76.26074
270.01953125	-76.28909
270.26367188	-76.28853
270.5078125	-76.27223
270.75195313	-76.23428
270.99609375	-76.18587
271.24023438	-76.11175
271.484375	-76.02477
271.72851563	-75.93743
271.97265625	-75.84547
272.21679688	-75.72798
272.4609375	-75.60882
272.70507813	-75.48183
272.94921875	-75.33364
273.19335938	-75.16074
273.4375	-74.96398
273.68164063	-74.73747
273.92578125	-74.47371
274.16992188	-74.16637
274.4140625	-73.81724
274.65820313	-73.40574
274.90234375	-72.94421
275.14648438	-72.44144
275.390625	-71.90209
275.63476563	-71.32515
275.87890625	-70.74891
276.12304688	-70.18724
